tblUploadID,tblHaulID,Ship,Gear,HaulNo,StationNumber,Year,Month,Day,Time,ShootLat,ShootLong,HaulLat,HaulLong,ICESrectangle,Depth,Survey,ICESDatabase,Notes
8526,20811,26D4,GOV,2,7,2022,8,17,0251,57.639,8.8224,57.6148,8.7804,44F8,83,IBTS,Y,wing dist 23 m. Stationen er overført fra SIS.
11679,28516,06NI,GOV,27,477,2022,8,13,0939,55.5723,7.1373,55.5723,7.1373,40F7,30,G2829,Y,NA
8526,20829,26D4,GOV,1,2,2022,8,16,1521,57.695,9.4395,57.7224,9.4056,44F9,33,IBTS,Y,wing dist 23. Stationen er overført fra SIS.
9620,24543,64T2,GOV,4,Inf,2022,1,25,1038,54.2389,6.7426,54.2389,6.7426,37F6,NA,IBTS,Y,NA
11679,28527,06NI,GOV,26,476,2022,8,13,0708,55.6725,6.747,55.6725,6.747,40F6,36,G2829,Y,NA
8526,20848,26D4,GOV,10,31,2022,8,19,0517,56.1497,6.1097,56.1424,6.054,41F6,44,IBTS,Y,wing dist 22m. Stationen er overført fra SIS.
12700,30025,77SE,GOV,6,141,2022,8,22,0755,57.9306,11.2041,57.9577,11.1762,44G1,87,IBTS,Y,Shoot: Svereg_note: 4 NW Toven.0595
8526,20800,26D4,GOV,28,92,2022,8,25,0228,54.2426,6.1181,54.2342,6.064,37F6,39,IBTS,Y,wing dist 21m. Stationen er overført fra SIS.
12690,29839,77SE,GOV,20,27,2022,1,27,0730,56.218,10.9642,56.2487,10.972,41G0,21,IBTS,Y,NA
12690,29840,77SE,GOV,3,5,2022,1,21,0741,58.0773,9.8272,58.0606,9.7782,45F9,255,IBTS,Y,NA
8526,20840,26D4,GOV,40,122,2022,8,27,1222,52.323,2.6961,52.3365,2.7454,33F2,45,IBTS,Y,wing dist 22m. Stationen er overført fra SIS.
11678,28494,06NI,GOV,4,86,2022,2,9,1211,56.1003,5.931,56.1003,5.931,41F5,42,G1022,Y,NA
11679,28515,06NI,GOV,20,470,2022,8,11,0732,55.6872,5.1393,55.6872,5.1393,40F5,50,G2829,Y,NA
12690,29818,77SE,GOV,21,28,2022,1,27,0945,56.4479,11.0912,56.4791,11.0983,41G1,19,IBTS,Y,NA
8526,20833,26D4,GOV,26,79,2022,8,23,0901,55.1298,6.1459,55.1405,6.2005,39F6,47,IBTS,Y,wing dist 21m. Stationen er overført fra SIS.
8526,20844,26D4,GOV,12,35,2022,8,19,1212,56.1351,4.817,56.1023,4.8224,41F4,56,IBTS,Y,wing dist 21m. Stationen er overført fra SIS.
12690,29813,77SE,GOV,9,14,2022,1,23,1521,57.3502,5.8028,57.3594,5.7421,43F5,76,IBTS,Y,Dålig öppning igen  orsak oklar. Stabil spridning
8526,20796,26D4,GOV,48,151,2022,8,30,0236,53.8333,0.8767,53.8359,0.9313,36F0,42,IBTS,Y,wing dist 21m. Stationen er overført fra SIS.
11678,28495,06NI,GOV,3,85,2022,2,9,0809,56.1062,6.82,56.1062,6.82,41F6,35,G1022,Y,NA
9620,24554,64T2,GOV,22,Inf,2022,2,8,0718,54.2268,3.2854,54.2268,3.2854,37F3,NA,IBTS,Y,NA
12700,30016,77SE,GOV,4,139,2022,8,21,1409,57.3998,11.3233,57.38,11.3176,43G1,41,IBTS,Y,Shoot: Svereg_note: 4 N Böchers bank.0593
8537,21114,26HF,GOV,20,80,2022,2,9,1231,55.1383,4.0811,55.1047,4.0773,39F4,47,IBTS,Y,NA
12692,29857,77U3,TV3,5,5,2022,3,15,0659,55.8658,12.6481,55.8529,12.6612,40G2,18,SSS,Y,Inga sensorer  uppskattade värden. 2kg sjöborre  skal 2kg.
11679,28505,06NI,GOV,10,460,2022,8,7,1523,54.1623,4.6232,54.1623,4.6232,37F4,48,G2829,Y,NA
12700,30027,77SE,GOV,48,184,2022,9,1,0528,57.6674,11.1996,57.6485,11.1538,44G1,39,IBTS,Y,Home: Svereg_note: 14 W Vinga.0641
12693,29870,77U3,TV3,8,8,2022,11,8,0918,55.8082,12.7207,55.8213,12.7095,40G2,21,SSS,Y,NA
